class_id,class_name,price_usd,price_krw
0,aunt_jemima_original_syrup,3.87,3900
1,band_aid_clear_strips,2.47,2500
2,bumblebee_albacore,1.58,1600
3,cholula_chipotle_hot_sauce,5.99,6000
4,crayola_24_crayons,1.48,1500
5,hersheys_cocoa,5.22,5200
6,honey_bunches_of_oats_honey_roasted,6.99,7000
7,honey_bunches_of_oats_with_almonds,4.93,4900
8,hunts_sauce,1.54,1500
9,listerine_green,8.38,8400
10,mahatma_rice,2.48,2500
11,white_rain_body_wash,1.00,1000
12,pringles_bbq,3.49,3500
13,cheeze_it,3.99,4000
14,hersheys_bar,1.32,1300
15,redbull,2.12,2100
16,mom_to_mom_sweet_potato_corn_apple,3.29,3300
17,a1_steak_sauce,4.98,5000
18,jif_creamy_peanut_butter,3.27,3300
19,cinnamon_toast_crunch,3.84,3800
20,arm_hammer_baking_soda,1.00,1000
21,dr_pepper,1.98,2000
22,haribo_gold_bears_gummi_candy,2.49,2500
23,bulls_eye_bbq_sauce_original,3.79,3800
24,reeses_pieces,1.99,2000
25,clif_crunch_peanut_butter,4.45,4500
26,mom_to_mom_butternut_squash_pear,3.39,3400
27,pop_tararts_strawberry,2.99,3000
28,quaker_big_chewy_chocolate_chip,4.12,4100
29,spam,3.99,4000
30,coffee_mate_french_vanilla,3.77,3800
31,pepperidge_farm_milk_chocolate_macadamia_cookies,4.25,4300
32,kitkat_king_size,2.19,2200
33,snickers,1.32,1300
34,toblerone_milk_chocolate,3.58,3600
35,clif_z_bar_chocolate_chip,3.95,4000
36,nature_valley_crunchy_oats_n_honey,3.79,3800
37,ritz_crackers,3.65,3700
38,palmolive_orange,2.75,2800
39,crystal_hot_sauce,1.38,1400
40,tapatio_hot_sauce,1.15,1200
41,nabisco_nilla_wafers,4.25,4300
42,pepperidge_farm_milano_cookies_double_chocolate,1.49,1500
43,campbells_chicken_noodle_soup,3.89,3900
44,frappuccino_coffee,3.12,3100
45,chewy_dips_chocolate_chip,2.78,2800
46,chewy_dips_peanut_butter,2.69,2700
47,nature_vally_fruit_and_nut,4.55,4600
48,cheerios,4.92,4900
49,lindt_excellence_cocoa_dark_chocolate,2.98,3000
50,hersheys_symphony,3.44,3400
51,campbells_chunky_classic_chicken_noodle,4.28,4300
52,martinellis_apple_juice,3.99,4000
53,dove_pink,2.99,3000
54,dove_white,2.35,2400
55,david_sunflower_seeds,2.35,2400
56,monster_energy,1.99,2000
57,act_ii_butter_lovers_popcorn,2.89,2900
58,coca_cola_glass_bottle,1.75,1800
59,twix,1.99,2000
